IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean
43851,Deer Park Community City,Hamilton,171,          17,         497,         912,         104,          63,          36,           0,0,         109,1227,90.68900000000001,189293.55451398462,182227.94539208434
43869,Defiance City,Defiance,294,0,        1172,        1636,         162,         582,          11,0,           0,          51,2443,83.239,100883.08545062547,91025.84497844434
43877,Delaware City,Delaware,858,         153,        1788,        4601,         234,         426,          32,0,0,         387,5685,92.339,147509.9706422928,133926.7673822346
43885,Delphos City,Allen,105,          14,         439,         868,0,          33,0,           0,0,          33,943,99.909,203263.09523809524,173385.29815682728
43893,Dover City,Tuscarawas,328,         257,         803,        2279,          49,         332,          18,0,           0,          32,2712,93.89800000000001,138317.88679792595,127343.68157712274
43901,East Cleveland City School District,Cuyahoga,499,           0,        1231,0,        1912,0,0,0,           0,0,1934,55.279,56366.12666814378,63547.33539803572
43919,East Liverpool City,Columbiana,372,0,        2128,        1810,         113,          32,0,0,           0,         174,2137,71.916,72289.15246724685,65357.87858370222
43927,East Palestine City,Columbiana,167,0,         575,        1027,          13,          25,0,0,0,          19,1088,87.51700000000001,107806.74151770325,98356.97452391562
43935,Eaton Community City,Preble,208,0,         669,        1812,0,          33,          25,0,0,          62,1944,95.373,149747.29163289408,132089.86271734568
43943,Elyria City Schools,Lorain,1031,         154,        4232,        3085,        1250,         771,          20,          12,           0,         956,6094,74.736,122095.03469987428,111874.39794100182
43950,Euclid City,Cuyahoga,1025,0,        4059,         362,        4434,         105,0,          15,0,         246,5170,63.856,85992.27825018202,84723.81053119461
43968,Fairborn City,Greene,642,         116,        3404,        3116,         429,         171,          56,0,          14,         406,4198,82.38,137505.6445545869,132492.47776741598
43976,Fairview Park City,Cuyahoga,230,          34,         409,        1438,          76,          98,          36,0,           0,          53,1702,90.296,237272.06066209608,201684.81661386346
43984,Findlay City,Hancock,1034,          81,        1992,        4470,         166,         567,         153,0,0,         325,5689,87.247,150795.06227384426,136576.79246670607
43992,Fostoria City,Seneca,305,          24,        1380,        1017,         100,         404,0,           0,           0,         309,1838,74.938,76817.95650504415,77848.48930926477
44008,Franklin City,Warren,511,          12,        1315,        2565,          60,          55,          18,0,0,          80,2781,86.16300000000001,154707.03217552006,139198.26323467807
44016,Fremont City,Sandusky,482,          83,        2433,        2067,         327,         914,0,0,0,         335,3658,81.628,151538.01961876528,135169.27841013108
44024,Galion City,Crawford,271,0,        1093,        1654,          11,          35,           0,0,0,          44,1748,78.021,88678.81133951417,80350.2496878257
44032,Gallipolis City,Gallia,486,0,        1075,        1856,          60,          20,          17,           0,           0,         100,2053,84.396,136111.10721899176,121988.07587567803
44040,Garfield Heights City Schools,Cuyahoga,658,          24,        1919,         512,        2712,         109,          25,0,0,         244,3611,63.351000000000006,73938.24571890221,82741.155514782
44057,Geneva Area City,Ashtabula,351,          39,        1055,        2069,          22,         132,0,0,0,          82,2314,84.96900000000001,166688.93040426966,147780.5632874677
44065,Girard City School District,Trumbull,228,0,        1058,        1399,         136,          64,          10,0,           0,          86,1700,97.71900000000001,87456.9446729871,80689.93240196834
44073,Grandview Heights Schools,Franklin,123,           0,          46,         967,          13,          25,          11,0,0,          47,1065,105.144,358148.5182314733,289421.8187493646
44081,Winton Woods City,Hamilton,548,         709,        1546,         373,        2077,         752,         241,0,0,         310,3763,65.537,111268.72140038254,118211.7624075907
44099,Greenville City,Darke,365,          18,         903,        2330,          19,          52,          20,0,0,          76,2508,83.792,172248.93487313195,147237.65265457134
44107,Hamilton City,Butler,1534,         620,        6236,        6517,        1248,        1641,          56,          16,          68,         529,10075,78.919,78156.47200636045,78586.56712291946
44115,Heath City,Licking,233,0,         614,        1474,          30,          34,          11,0,0,         136,1688,90.61500000000001,169012.30545604933,148949.9492767761
44123,Hillsboro City,Highland,371,0,        1402,        2088,          40,          53,          12,0,0,         146,2344,89.96600000000001,143578.99847998648,116895.41796640932
44131,Huron City Schools,Erie,151,           0,         329,        1202,          14,          58,          13,0,0,          34,1325,98.046,281452.7600931078,239108.97699022418
44149,Ironton City School District,Lawrence,158,           0,        1329,        1190,          49,          20,0,0,           0,          84,1353,86.51,112258.37810731427,101807.15675562172
44156,Jackson City,Jackson,323,           0,        1080,        2265,          20,          21,          15,0,0,          31,2355,95.27,133654.30841486942,112706.6744754019
44164,Kent City,Portage,529,         121,        1370,        2479,         443,         115,          74,0,0,         306,3424,92.703,202082.20467171806,171898.0357579963
44172,Kenton City,Hardin,315,0,        1161,        1699,          12,          80,          10,           0,           0,          47,1848,84.028,128913.28393058768,114701.53732397914
44180,Kettering City School District,Montgomery,1094,         192,        2779,        6280,         486,         409,         127,0,0,         529,7848,96.382,179523.417507442,172258.58741844157
44198,Lakewood City,Cuyahoga,703,         326,        1835,        3558,         372,         374,         243,0,0,         370,4922,94.342,221260.19805026558,166376.17389538366
44206,Lancaster City,Fairfield,943,          24,        3000,        5811,         169,         137,          20,0,0,         238,6384,84.184,144369.90734636638,140542.70379980985
44214,Lebanon City,Warren,684,          98,        1009,        4839,          84,         331,          47,0,           0,         218,5524,92.74600000000001,177977.7001221036,146509.53116069976
44222,Lima City,Allen,718,          26,        3649,        1301,        1445,         205,0,0,0,         684,3649,68.497,59695.63127240603,58270.526073189074
44230,Lockland Local,Hamilton,91,          56,         543,         188,         247,          50,0,0,           0,          58,546,56.04,98237.14990200418,103946.88737189148
44248,Logan-Hocking Local,Hocking,781,0,        3762,        3592,          21,          41,          10,0,           0,          96,3763,90.991,153391.26771062342,130168.2908015745
44255,London City,Madison,333,          23,         670,        1872,          69,          42,          14,0,0,         101,2103,83.75500000000001,168464.22003677938,146390.98402467658
44263,Lorain City,Lorain,1225,         532,        6419,        1375,        1756,        2728,          12,          16,0,         530,6419,64.461,61974.08114748493,60033.11148626445
44271,Loveland City,Hamilton,533,          60,         552,        4097,          83,         150,         103,0,0,         158,4597,101.111,194310.79881820496,172939.55155838106
44289,Madeira City,Hamilton,153,          14,          87,        1333,          19,          69,          40,0,           0,          53,1516,109.171,247863.59110086213,224067.87133594172
44297,Mansfield City,Richland,778,          11,        2965,        1728,         954,         124,0,0,0,         474,3299,71.667,82929.40244156352,80905.03200758871
44305,Maple Heights City,Cuyahoga,653,0,        3627,          74,        3307,         107,0,           0,0,         139,3629,64.806,63950.12096709095,73030.8800941467
44313,Mariemont City,Hamilton,125,0,         165,        1498,          21,          48,          21,           0,0,          61,1650,107.391,232597.73821989528,210055.76290008333
44321,Marietta City,Washington,363,           0,        1199,        2322,          32,          49,          30,0,0,          96,2534,81.272,186714.35435960162,165957.3963712724
44339,Marion City,Marion,792,          66,        4496,        3449,         330,         310,0,0,0,         399,4501,67.282,69530.88843740617,66751.42069378469
44347,Martins Ferry City,Belmont,283,           0,         841,        1241,          80,          24,0,0,           0,         124,1480,85.02900000000001,151302.3226207989,99895.40751659454
44354,Massillon City,Stark,554,          99,        3912,        2784,         416,         215,0,          10,0,         471,3912,83.168,112423.7951534993,96298.63628988301
44362,Maumee City,Lucas,250,          22,         750,        1657,         196,         167,          41,           0,0,         135,2197,94.555,184310.39298072172,163002.136627699
44370,Mayfield City,Cuyahoga,785,         145,        1221,        2841,         797,         184,         401,0,0,         240,4472,94.918,349922.8519995374,337945.37873637775
44388,Medina City SD,Medina,877,          53,        1189,        5926,         222,         203,          91,0,0,         263,6712,96.643,188958.44360807497,170303.69203764226
44396,Miamisburg City,Montgomery,839,         122,        2014,        4237,         412,         198,         167,0,0,         246,5274,88.72800000000001,167398.01449040178,155349.88338768447
44404,Middletown City,Butler,1115,         405,        6229,        3533,        1191,         829,          15,0,0,         772,6350,69.34100000000001,94957.27387924981,93737.07112507272
44412,Mt Healthy City,Hamilton,600,         117,        2951,         394,        2059,         176,          28,0,0,         306,2968,61.666000000000004,73212.14272417003,75566.29121290758
44420,Mount Vernon City,Knox,666,          42,        1826,        3311,          48,         126,          34,0,0,         181,3708,90.09400000000001,154880.32538535766,139749.51560620262
44438,Napoleon Area City,Henry,293,          12,         692,        1606,          10,         245,          10,0,           0,          41,1915,94.02300000000001,166574.23728169003,143941.50836898197
44446,Nelsonville-York City,Athens,220,0,        1206,        1138,0,          12,0,           0,           0,          44,1206,74.304,101023.07832091585,85477.08164604769
44453,Newark City,Licking,1326,          31,        3614,        5470,         248,         116,          37,          11,0,         595,6484,83.384,121306.31903663436,115353.30316788121
44461,New Boston Local,Scioto,64,           0,         404,         363,0,          13,           0,0,           0,          27,407,78.033,114809.16337123084,93498.10474839486
44479,New Lexington School District,Perry,271,0,        1667,        1620,0,          11,0,0,0,          24,1667,82.061,104758.1600657202,83713.11167932017
44487,New Philadelphia City,Tuscarawas,455,         248,        1013,        2568,          35,         375,          14,           0,0,          89,3084,88.827,144893.79720269007,136892.5934404835
44495,Niles City,Trumbull,279,0,        1717,        1845,         103,          66,0,0,           0,         188,2212,84.153,88554.32262005715,85372.13924908424
44503,North Canton City,Stark,560,          10,         721,        3857,         109,          87,          58,0,           0,         183,4296,100.908,186339.48667208498,151766.98192275083
44511,North College Hill City,Hamilton,355,          14,        1205,         135,        1311,          34,0,0,           0,         123,1610,60.109,65407.10277749275,70462.55442404102
44529,North Olmsted City,Cuyahoga,516,         251,        1417,        3115,         177,         278,         114,          11,0,          87,3789,88.49600000000001,224624.59240945269,200962.8629224332
44537,North Ridgeville City,Lorain,570,          23,         854,        3910,          88,         243,          64,0,0,          77,4391,91.37700000000001,202128.83995309166,178113.44150199735
44545,North Royalton City,Cuyahoga,430,         119,         691,        3417,          75,         150,         260,0,0,         156,4062,102.129,294880.7335831197,244802.96347543143
44552,Norton City,Summit,470,          17,         917,        2371,          50,          27,          25,0,           0,          81,2555,95.173,154627.30244066348,140717.24102915748
44560,Norwalk City,Huron,412,         108,        1267,        2165,          29,         352,0,0,0,         142,2698,87.21600000000001,121303.80542663588,109099.85875387733
44578,Norwood City,Hamilton,318,          91,        1320,        1284,         268,         235,0,0,0,         115,1908,84.295,204902.4084797724,177261.93258656535
44586,Oakwood City,Montgomery,217,           0,          45,        1725,          26,         102,          99,0,           0,          95,2051,107.55,165578.0838817835,148663.56561030776
44594,Oberlin City Schools,Lorain,132,0,         596,         467,         197,         104,          11,0,0,         176,963,86.76100000000001,218907.2422119779,180686.17964493326
44602,Oregon City,Lucas,488,          15,        1558,        2823,          79,         525,          40,0,0,          88,3559,88.988,162590.8820964747,143372.10936014503
44610,Orrville City,Wayne,181,          71,         756,        1147,          60,         194,          24,           0,           0,         143,1568,91.17200000000001,144846.54296237585,136550.84792618372
44628,Painesville City Local,Lake,511,         742,        2397,         590,         510,        1550,          11,0,0,         256,2920,66.747,58259.57360023846,58054.745984385205
44636,Parma City,Cuyahoga,1480,         290,        4566,        7594,         602,        1078,         248,          12,0,         341,9884,84.64200000000001,192296.02960444838,171731.38413637277
44644,Piqua City,Miami,435,          10,        1508,        2772,         105,          85,          17,0,0,         285,3273,81.674,110057.72382278749,106983.390065062
