,IRN,School District,County,Students Disability,Students EL,Students EconDis,Students White,Students Black,Students Latino,Students Asian,Students NativeAm,Students NatHaw,Students Multi,Total Students,PI,Property Tax per Student 2018,Property Tax per Student Mean,Percent Black,Percent White,Percent Disability,Percent Latino,Percent Asian,Percent NativeAm,Percent NatHaw,Percent Multi,Percent EconDis,Percent EL,Students NonWhite,Percent NonWhite
0,442,Manchester Local,Adams,150,0,834,836,0,0,0,0,0,14,856,84.24,205344.5773053833,315857.9861739964,0.0,0.9766355140186916,0.17523364485981308,0.0,0.0,0.0,0.0,0.016355140186915886,0.9742990654205608,0.0,20,0.02336448598130841
1,43489,Akron City,Summit,2318,1222,8416,6850,4434,848,827,12,17,956,12571,67.229,90201.15330221789,88770.87031783766,0.4652735383892933,0.3216717539328481,0.18487907959614933,0.039821554355482514,0.08485559990608124,0.0005635125616341864,0.0007983094623150973,0.08701573139234563,1.0,0.08419816858417467,6927,0.6783282460671519
2,43497,Alliance City,Stark,520,11,3043,2106,369,97,10,0,0,451,3043,74.02600000000002,90154.8962809768,76850.18879520177,0.12126191258626355,0.6920801840289188,0.17088399605652316,0.03187643772592836,0.003286230693394676,0.0,0.0,0.13379511483776887,1.0,0.0036148537627341435,937,0.30791981597108115
3,43505,Ashland City,Ashland,389,27,1050,2931,37,67,23,0,0,127,3191,92.866,157265.35886327142,135084.7124730743,0.011595111250391726,0.9185208398621122,0.121905358821686,0.0209965528047634,0.007207771858351614,0.0,0.0,0.03979943591350674,0.32905045440300845,0.008461297398934503,260,0.08147916013788781
4,43513,Ashtabula Area City,Ashtabula,743,192,3414,2146,235,596,0,0,0,437,3425,73.878,110267.04924393233,103537.39611722626,0.06861313868613139,0.6265693430656935,0.21693430656934307,0.17401459854014598,0.0,0.0,0.0,0.12759124087591242,0.9967883211678832,0.05605839416058394,1279,0.37343065693430655
5,43521,Athens City,Athens,436,104,911,2207,67,63,121,0,0,116,2575,87.24300000000002,243727.67284433718,219515.33717507907,0.026019417475728158,0.8570873786407767,0.16932038834951454,0.02446601941747573,0.04699029126213592,0.0,0.0,0.04504854368932039,0.3537864077669903,0.040388349514563104,368,0.1429126213592233
6,43539,Barberton City,Summit,731,31,2742,2918,590,108,16,13,0,304,3952,80.69,86408.3619135976,86274.13219248282,0.1492914979757085,0.7383603238866396,0.18496963562753035,0.027327935222672062,0.004048582995951417,0.0019872813990461052,0.0,0.07692307692307693,0.6938259109311741,0.00784412955465587,1034,0.2616396761133603
7,43547,Bay Village City,Cuyahoga,271,0,170,2319,16,76,27,0,0,59,2497,107.715,257253.1623987139,212414.1407533698,0.006407689227072487,0.9287144573488186,0.10853023628354024,0.030436523828594318,0.01081297557068482,0.0,0.0,0.023628354024829795,0.06808169803764517,0.0,178,0.07128554265118142
8,43554,Beachwood City,Cuyahoga,209,106,135,850,327,45,305,0,0,87,1617,108.523,523357.54571639095,425687.6063371793,0.20222634508348794,0.525664811379097,0.1292517006802721,0.027829313543599257,0.08485559990608124,0.0,0.0,0.05380333951762523,0.08348794063079777,0.0655534941249227,767,0.4743351886209029
9,43562,Bedford City,Cuyahoga,613,57,1806,267,2637,138,0,0,0,197,3247,70.861,218999.1875294669,194162.5251765797,0.4652735383892933,0.3216717539328481,0.18878965198644904,0.04250076994148445,0.0,0.0,0.0,0.06067138897443794,0.5562057283646443,0.01755466584539575,2980,0.6783282460671519
10,43570,Bellaire Local,Belmont,219,0,660,1029,45,19,0,0,0,68,1163,85.98700000000002,192942.6285440053,116067.54342551777,0.038693035253654334,0.8847807394668961,0.1883061049011178,0.016337059329320718,0.0,0.0,0.0,0.05846947549441101,0.5674978503869303,0.0,134,0.11521926053310405
11,43588,Bellefontaine City,Logan,370,45,1075,1931,55,93,20,0,0,245,2348,87.21799999999999,112160.15026307886,102124.13737089664,0.023424190800681432,0.8224020442930153,0.1575809199318569,0.03960817717206133,0.008517887563884156,0.0,0.0,0.10434412265758093,0.4578364565587734,0.019165247018739357,417,0.17759795570698467
12,43596,Bellevue City,Huron,242,0,717,1716,0,114,0,0,0,73,1916,93.95299999999999,148824.6609933104,130401.06270730814,0.0,0.8956158663883089,0.12630480167014613,0.059498956158663886,0.0,0.0,0.0,0.03810020876826722,0.3742171189979123,0.0,200,0.10438413361169102
13,43604,Belpre City,Washington,149,0,505,868,0,15,0,0,0,67,960,86.56299999999999,170695.784256249,148883.47986054028,0.0,0.9041666666666668,0.15520833333333334,0.015625,0.0,0.0,0.0,0.06979166666666667,0.5260416666666666,0.0,92,0.09583333333333334
